from,to,edge_type,edge_group,weight_n,weight_rate
panethnic_hub,minority largest,hub_term,Panethnic Hub,28,0.023451
ethnic_hub,minority largest,hub_term,Ethnic Hub,10,0.008673
panethnic_hub,economic political,hub_term,Panethnic Hub,22,0.018425
ethnic_hub,economic political,hub_term,Ethnic Hub,21,0.018213
panethnic_hub,urban housing,hub_term,Panethnic Hub,24,0.020101
ethnic_hub,urban housing,hub_term,Ethnic Hub,15,0.01301
panethnic_hub,minority language,hub_term,Panethnic Hub,26,0.021776
ethnic_hub,minority language,hub_term,Ethnic Hub,10,0.008673
panethnic_hub,training employment,hub_term,Panethnic Hub,25,0.020938
ethnic_hub,training employment,hub_term,Ethnic Hub,11,0.00954
panethnic_hub,school board,hub_term,Panethnic Hub,10,0.008375
ethnic_hub,school board,hub_term,Ethnic Hub,25,0.021683
panethnic_hub,criminal justice,hub_term,Panethnic Hub,26,0.021776
ethnic_hub,criminal justice,hub_term,Ethnic Hub,6,0.005204
panethnic_hub,civil commission,hub_term,Panethnic Hub,19,0.015913
ethnic_hub,civil commission,hub_term,Ethnic Hub,19,0.016479
panethnic_hub,bicultural education,hub_term,Panethnic Hub,13,0.010888
ethnic_hub,bicultural education,hub_term,Ethnic Hub,20,0.017346
panethnic_hub,public service,hub_term,Panethnic Hub,19,0.015913
ethnic_hub,public service,hub_term,Ethnic Hub,15,0.01301
panethnic_hub,along border,hub_term,Panethnic Hub,7,0.005863
ethnic_hub,along border,hub_term,Ethnic Hub,23,0.019948
panethnic_hub,labor force,hub_term,Panethnic Hub,19,0.015913
ethnic_hub,labor force,hub_term,Ethnic Hub,14,0.012142
panethnic_hub,graduate school,hub_term,Panethnic Hub,17,0.014238
ethnic_hub,graduate school,hub_term,Ethnic Hub,17,0.014744
panethnic_hub,school districts,hub_term,Panethnic Hub,14,0.011725
ethnic_hub,school districts,hub_term,Ethnic Hub,18,0.015611
panethnic_hub,fund education,hub_term,Panethnic Hub,10,0.008375
ethnic_hub,fund education,hub_term,Ethnic Hub,19,0.016479
panethnic_hub,urban development,hub_term,Panethnic Hub,18,0.015075
ethnic_hub,urban development,hub_term,Ethnic Hub,12,0.010408
panethnic_hub,community services,hub_term,Panethnic Hub,17,0.014238
ethnic_hub,community services,hub_term,Ethnic Hub,13,0.011275
panethnic_hub,circuit court,hub_term,Panethnic Hub,13,0.010888
ethnic_hub,circuit court,hub_term,Ethnic Hub,16,0.013877
panethnic_hub,public broadcast,hub_term,Panethnic Hub,17,0.014238
ethnic_hub,public broadcast,hub_term,Ethnic Hub,10,0.008673
panethnic_hub,minority members,hub_term,Panethnic Hub,17,0.014238
ethnic_hub,minority members,hub_term,Ethnic Hub,10,0.008673
panethnic_hub,social political,hub_term,Panethnic Hub,16,0.0134
ethnic_hub,social political,hub_term,Ethnic Hub,11,0.00954
panethnic_hub,legal counsel,hub_term,Panethnic Hub,9,0.007538
ethnic_hub,legal counsel,hub_term,Ethnic Hub,17,0.014744
panethnic_hub,civil service,hub_term,Panethnic Hub,17,0.014238
ethnic_hub,civil service,hub_term,Ethnic Hub,9,0.007806
panethnic_hub,awarded grant,hub_term,Panethnic Hub,10,0.008375
ethnic_hub,awarded grant,hub_term,Ethnic Hub,16,0.013877
panethnic_hub,federal funds,hub_term,Panethnic Hub,15,0.012563
ethnic_hub,federal funds,hub_term,Ethnic Hub,12,0.010408
panethnic_hub,business administration,hub_term,Panethnic Hub,17,0.014238
ethnic_hub,business administration,hub_term,Ethnic Hub,7,0.006071
panethnic_hub,school system,hub_term,Panethnic Hub,8,0.0067
ethnic_hub,school system,hub_term,Ethnic Hub,16,0.013877
panethnic_hub,public affairs,hub_term,Panethnic Hub,18,0.015075
ethnic_hub,public affairs,hub_term,Ethnic Hub,5,0.004337
panethnic_hub,school systems,hub_term,Panethnic Hub,10,0.008375
ethnic_hub,school systems,hub_term,Ethnic Hub,14,0.012142
panethnic_hub,educational opportunity,hub_term,Panethnic Hub,8,0.0067
ethnic_hub,educational opportunity,hub_term,Ethnic Hub,15,0.01301
panethnic_hub,labor market,hub_term,Panethnic Hub,11,0.009213
ethnic_hub,labor market,hub_term,Ethnic Hub,13,0.011275
panethnic_hub,social cultural,hub_term,Panethnic Hub,13,0.010888
ethnic_hub,social cultural,hub_term,Ethnic Hub,10,0.008673
panethnic_hub,business enterprise,hub_term,Panethnic Hub,14,0.011725
ethnic_hub,business enterprise,hub_term,Ethnic Hub,8,0.006938
panethnic_hub,social change,hub_term,Panethnic Hub,12,0.01005
ethnic_hub,social change,hub_term,Ethnic Hub,11,0.00954
panethnic_hub,committee opportunity,hub_term,Panethnic Hub,15,0.012563
ethnic_hub,committee opportunity,hub_term,Ethnic Hub,6,0.005204
panethnic_hub,migrant farm,hub_term,Panethnic Hub,13,0.010888
ethnic_hub,migrant farm,hub_term,Ethnic Hub,9,0.007806
panethnic_hub,public private,hub_term,Panethnic Hub,13,0.010888
ethnic_hub,public private,hub_term,Ethnic Hub,9,0.007806
panethnic_hub,social security,hub_term,Panethnic Hub,13,0.010888
ethnic_hub,social security,hub_term,Ethnic Hub,9,0.007806
panethnic_hub,minority ethnic,hub_term,Panethnic Hub,13,0.010888
ethnic_hub,minority ethnic,hub_term,Ethnic Hub,8,0.006938
panethnic_hub,secretary labor,hub_term,Panethnic Hub,13,0.010888
ethnic_hub,secretary labor,hub_term,Ethnic Hub,7,0.006071
panethnic_hub,economic develop,hub_term,Panethnic Hub,7,0.005863
ethnic_hub,economic develop,hub_term,Ethnic Hub,12,0.010408
panethnic_hub,federal local,hub_term,Panethnic Hub,12,0.01005
ethnic_hub,federal local,hub_term,Ethnic Hub,7,0.006071
panethnic_hub,services administration,hub_term,Panethnic Hub,11,0.009213
ethnic_hub,services administration,hub_term,Ethnic Hub,8,0.006938
panethnic_hub,justice system,hub_term,Panethnic Hub,15,0.012563
ethnic_hub,justice system,hub_term,Ethnic Hub,2,0.001735
panethnic_hub,necessarily represent policy,hub_term,Panethnic Hub,3,0.002513
ethnic_hub,necessarily represent policy,hub_term,Ethnic Hub,10,0.008673
employment opportunity,equal employment,term_term,Term-Term,31,
bilingual bicultural,bilingual education,term_term,Term-Term,25,
civil commission,civil rights,term_term,Term-Term,24,
civil rights,justice department,term_term,Term-Term,23,
defense educational,legal defense,term_term,Term-Term,22,
bicultural education,bilingual bicultural,term_term,Term-Term,21,
bicultural education,bilingual education,term_term,Term-Term,21,
urban development,urban housing,term_term,Term-Term,20,
fund education,legal defense,term_term,Term-Term,17,
business administration,small business,term_term,Term-Term,16,
civil rights,supreme court,term_term,Term-Term,16,
bilingual education,civil rights,term_term,Term-Term,16,
civil rights,legal defense,term_term,Term-Term,15,
civil rights,voting rights,term_term,Term-Term,15,
justice department,voting rights,term_term,Term-Term,15,
criminal justice,justice system,term_term,Term-Term,15,
economic political,social economic,term_term,Term-Term,14,
legal counsel,legal defense,term_term,Term-Term,14,
circuit court,district court,term_term,Term-Term,14,
civil rights,health education welfare,term_term,Term-Term,13,
civil rights,district court,term_term,Term-Term,13,
farm workers,migrant farm,term_term,Term-Term,13,
minority language,voting rights,term_term,Term-Term,13,
district court,supreme court,term_term,Term-Term,12,
labor department,training employment,term_term,Term-Term,12,
bilingual education,school district,term_term,Term-Term,12,
legal defense,supreme court,term_term,Term-Term,11,
school board,school district,term_term,Term-Term,11,
civil rights,equal employment,term_term,Term-Term,11,
affirmative action,equal employment,term_term,Term-Term,11,
health education welfare,labor department,term_term,Term-Term,11,
community development,economic development,term_term,Term-Term,11,
civil rights,minority language,term_term,Term-Term,11,
school district,supreme court,term_term,Term-Term,10,
circuit court,supreme court,term_term,Term-Term,10,
employment opportunity,labor department,term_term,Term-Term,10,
civil rights,federal agency,term_term,Term-Term,10,
federal agency,health education welfare,term_term,Term-Term,10,
bilingual education,health education welfare,term_term,Term-Term,10,
civil rights,school district,term_term,Term-Term,9,
affirmative action,employment opportunity,term_term,Term-Term,9,
district court,legal defense,term_term,Term-Term,9,
civil rights,defense educational,term_term,Term-Term,9,
health care,mental health,term_term,Term-Term,9,
equal employment,labor department,term_term,Term-Term,9,
justice department,legal defense,term_term,Term-Term,9,
community services,services administration,term_term,Term-Term,9,
civil rights,high school,term_term,Term-Term,8,
school district,school districts,term_term,Term-Term,8,
economic development,small business,term_term,Term-Term,8,
bilingual education,social economic,term_term,Term-Term,8,
district court,school district,term_term,Term-Term,8,
school district,school system,term_term,Term-Term,8,
civil rights,labor department,term_term,Term-Term,8,
affirmative action,civil rights,term_term,Term-Term,8,
civil rights,social economic,term_term,Term-Term,8,
bilingual education,high school,term_term,Term-Term,8,
bilingual education,minority language,term_term,Term-Term,8,
health education welfare,urban housing,term_term,Term-Term,7,
civil rights,school districts,term_term,Term-Term,7,
federal agency,labor department,term_term,Term-Term,7,
bilingual education,economic political,term_term,Term-Term,7,
health care,health education welfare,term_term,Term-Term,7,
bilingual education,labor department,term_term,Term-Term,7,
equal employment,health education welfare,term_term,Term-Term,7,
district court,justice department,term_term,Term-Term,7,
school board,school system,term_term,Term-Term,6,
high school,school district,term_term,Term-Term,6,
social economic,social political,term_term,Term-Term,6,
fund education,legal counsel,term_term,Term-Term,6,
civil rights,employment opportunity,term_term,Term-Term,6,
community development,social economic,term_term,Term-Term,6,
economic development,federal agency,term_term,Term-Term,6,
district court,school system,term_term,Term-Term,6,
bicultural education,school district,term_term,Term-Term,6,
bilingual education,higher education,term_term,Term-Term,6,
civil rights,farm workers,term_term,Term-Term,6,
farm workers,labor department,term_term,Term-Term,6,
health education welfare,legal defense,term_term,Term-Term,6,
bilingual bicultural,civil rights,term_term,Term-Term,6,
community development,urban housing,term_term,Term-Term,6,
health education welfare,justice department,term_term,Term-Term,6,
legal defense,voting rights,term_term,Term-Term,6,
labor department,labor force,term_term,Term-Term,6,
bilingual education,supreme court,term_term,Term-Term,6,
business administration,economic development,term_term,Term-Term,6,
civil rights,minority women,term_term,Term-Term,6,
labor department,minority women,term_term,Term-Term,6,
bilingual education,school districts,term_term,Term-Term,6,
educational opportunity,school district,term_term,Term-Term,5,
economic political,social political,term_term,Term-Term,5,
circuit court,school district,term_term,Term-Term,5,
federal funds,health education welfare,term_term,Term-Term,5,
economic development,labor department,term_term,Term-Term,5,
civil service,equal employment,term_term,Term-Term,5,
civil rights,fund education,term_term,Term-Term,5,
community development,urban development,term_term,Term-Term,5,
employment opportunity,training employment,term_term,Term-Term,5,
school system,supreme court,term_term,Term-Term,5,
bilingual education,educational opportunity,term_term,Term-Term,5,
circuit court,civil rights,term_term,Term-Term,5,
defense educational,supreme court,term_term,Term-Term,5,
economic development,employment opportunity,term_term,Term-Term,5,
along border,farm workers,term_term,Term-Term,5,
labor department,legal defense,term_term,Term-Term,5,
economic development,urban development,term_term,Term-Term,5,
economic develop,economic development,term_term,Term-Term,5,
health care,public service,term_term,Term-Term,5,
civil rights,health care,term_term,Term-Term,5,
civil rights,social security,term_term,Term-Term,5,
health education welfare,school district,term_term,Term-Term,5,
civil rights,urban housing,term_term,Term-Term,5,
health care,labor department,term_term,Term-Term,5,
equal employment,justice department,term_term,Term-Term,5,
health education welfare,urban development,term_term,Term-Term,5,
labor department,urban housing,term_term,Term-Term,5,
bilingual education,farm workers,term_term,Term-Term,5,
labor department,public broadcast,term_term,Term-Term,5,
legal defense,minority language,term_term,Term-Term,5,
affirmative action,justice department,term_term,Term-Term,5,
health education welfare,services administration,term_term,Term-Term,5,
affirmative action,labor department,term_term,Term-Term,5,
community development,federal agency,term_term,Term-Term,5,
civil rights,minority members,term_term,Term-Term,5,
bilingual bicultural,health education welfare,term_term,Term-Term,5,
justice department,minority members,term_term,Term-Term,5,
bilingual bicultural,school district,term_term,Term-Term,5,
civil rights,school systems,term_term,Term-Term,5,
along border,health care,term_term,Term-Term,5,
economic development,high school,term_term,Term-Term,4,
awarded grant,urban housing,term_term,Term-Term,4,
school districts,supreme court,term_term,Term-Term,4,
high school,supreme court,term_term,Term-Term,4,
school board,supreme court,term_term,Term-Term,4,
defense educational,legal counsel,term_term,Term-Term,4,
civil rights,educational opportunity,term_term,Term-Term,4,
labor department,secretary labor,term_term,Term-Term,4,
community services,federal agency,term_term,Term-Term,4,
affirmative action,civil service,term_term,Term-Term,4,
bilingual education,school systems,term_term,Term-Term,4,
district court,fund education,term_term,Term-Term,4,
business enterprise,small business,term_term,Term-Term,4,
economic political,minority largest,term_term,Term-Term,4,
graduate school,higher education,term_term,Term-Term,4,
circuit court,legal defense,term_term,Term-Term,4,
along border,employment opportunity,term_term,Term-Term,4,
along border,labor market,term_term,Term-Term,4,
equal employment,urban development,term_term,Term-Term,4,
equal employment,urban housing,term_term,Term-Term,4,
community services,labor department,term_term,Term-Term,4,
economic development,urban housing,term_term,Term-Term,4,
affirmative action,mental health,term_term,Term-Term,4,
health education welfare,high school,term_term,Term-Term,4,
health education welfare,public private,term_term,Term-Term,4,
federal agency,social economic,term_term,Term-Term,4,
bilingual education,social security,term_term,Term-Term,4,
health education welfare,social security,term_term,Term-Term,4,
defense educational,health education welfare,term_term,Term-Term,4,
civil commission,social economic,term_term,Term-Term,4,
bicultural education,health education welfare,term_term,Term-Term,4,
circuit court,health education welfare,term_term,Term-Term,4,
legal defense,school district,term_term,Term-Term,4,
bicultural education,civil rights,term_term,Term-Term,4,
district court,equal employment,term_term,Term-Term,4,
health education welfare,secretary labor,term_term,Term-Term,4,
bilingual education,employment opportunity,term_term,Term-Term,4,
bilingual education,equal employment,term_term,Term-Term,4,
civil commission,minority language,term_term,Term-Term,4,
justice department,social economic,term_term,Term-Term,4,
community services,health education welfare,term_term,Term-Term,4,
labor department,urban development,term_term,Term-Term,4,
justice department,minority language,term_term,Term-Term,4,
employment opportunity,justice department,term_term,Term-Term,4,
district court,voting rights,term_term,Term-Term,4,
affirmative action,district court,term_term,Term-Term,4,
federal agency,voting rights,term_term,Term-Term,4,
labor department,mental health,term_term,Term-Term,4,
school district,school systems,term_term,Term-Term,4,
bilingual bicultural,supreme court,term_term,Term-Term,4,
bilingual education,civil service,term_term,Term-Term,4,
affirmative action,health care,term_term,Term-Term,4,
civil commission,legal defense,term_term,Term-Term,4,
affirmative action,bilingual education,term_term,Term-Term,4,
health care,legal defense,term_term,Term-Term,4,
awarded grant,health education welfare,term_term,Term-Term,3,
health education welfare,legal counsel,term_term,Term-Term,3,
legal defense,school districts,term_term,Term-Term,3,
farm workers,legal defense,term_term,Term-Term,3,
bicultural education,economic political,term_term,Term-Term,3,
bilingual bicultural,economic political,term_term,Term-Term,3,
bilingual education,social political,term_term,Term-Term,3,
district court,educational opportunity,term_term,Term-Term,3,
civil service,federal agency,term_term,Term-Term,3,
federal agency,legal defense,term_term,Term-Term,3,
civil rights,committee opportunity,term_term,Term-Term,3,
federal agency,justice department,term_term,Term-Term,3,
affirmative action,public service,term_term,Term-Term,3,
civil service,employment opportunity,term_term,Term-Term,3,
business enterprise,social economic,term_term,Term-Term,3,
district court,federal agency,term_term,Term-Term,3,
community development,health care,term_term,Term-Term,3,
health care,urban development,term_term,Term-Term,3,
economic development,public private,term_term,Term-Term,3,
school board,small business,term_term,Term-Term,3,
employment opportunity,legal counsel,term_term,Term-Term,3,
educational opportunity,high school,term_term,Term-Term,3,
district court,school districts,term_term,Term-Term,3,
district court,school board,term_term,Term-Term,3,
circuit court,school system,term_term,Term-Term,3,
bilingual education,minority ethnic,term_term,Term-Term,3,
bilingual education,school board,term_term,Term-Term,3,
educational opportunity,higher education,term_term,Term-Term,3,
high school,higher education,term_term,Term-Term,3,
justice department,labor department,term_term,Term-Term,3,
along border,economic development,term_term,Term-Term,3,
economic development,labor force,term_term,Term-Term,3,
employment opportunity,labor market,term_term,Term-Term,3,
civil rights,social political,term_term,Term-Term,3,
awarded grant,urban development,term_term,Term-Term,3,
equal employment,legal counsel,term_term,Term-Term,3,
